R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
134,UT,11,Natural Gas Fired Combustion Turbine,2,11,16.409,180.499,0,11493,11.728,mountain_reference_naturalgas,9.697,2.123,2.421,0.644,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
135,UT,11,Natural Gas Fired Combustion Turbine,3,4,5.05,20.2,0,11493,11.728,mountain_reference_naturalgas,17.142,0.637,1.275,0.455,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
142,WY,10,Natural Gas Fired Combustion Turbine,1,9,6,54,0,11493,11.728,mountain_reference_naturalgas,19.167,4.722,2.055,0.083,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
143,WY,10,Natural Gas Fired Combustion Turbine,2,4,37.5,150,0,11493,11.728,mountain_reference_naturalgas,10.721,0.661,0.902,0.596,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
21,CO,12,Natural Gas Steam Turbine,1,1,20,20,0,50678,1.043,mountain_reference_naturalgas,27.041,0,,0.15,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
22,CO,12,Natural Gas Steam Turbine,2,1,310,310,0,50678,1.043,mountain_reference_naturalgas,11.131,0,,0.71,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
48,NM,9,Natural Gas Steam Turbine,1,2,47,94,0,50678,1.043,mountain_reference_naturalgas,13.628,0.39,0.552,0.383,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
49,NM,9,Natural Gas Steam Turbine,2,3,84,252,0,50678,1.043,mountain_reference_naturalgas,12.157,0,0,0.246,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
62,NV,7,Natural Gas Steam Turbine,1,2,113,226,0,50678,1.043,mountain_reference_naturalgas,11.728,0.131,0.186,0.159,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
122,SoCal,2,Natural Gas Steam Turbine,1,2,745.5,1491,0,26418,1.043,pacific_reference_naturalgas,11.921,0.267,0.377,0.101,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
123,SoCal,2,Natural Gas Steam Turbine,2,2,134.05,268.1,0,50678,1.043,pacific_reference_naturalgas,11.537,0.203,0.288,0.298,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
9,AZ,8,Nuclear,1,3,1334.333,7400,0,105225,2.413,mountain_reference_uranium,10.458,0,0,0.082,0.25,0.25,1,0,244.8153402,24,24,1,1,1,0,0,0,0,0,1
10,AZ,8,Onshore Wind Turbine,1,4,51.075,22000,0,45062,0,None,9.118,0,0,0.024,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
11,AZ,8,Small Hydroelectric,1,9,2.125,1200,0,46475,0,None,9.128,0.026,0.013,0.268,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
12,AZ,8,Solar Photovoltaic,1,105,17.499,20000,0,18715,0,None,9.126,0,0.013,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
