Hour_0,biomass_1,conventional_hydroelectric_2,conventional_steam_coal_3,hydroelectric_pumped_storage_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,nuclear_9,onshore_wind_turbine_10,small_hydroelectric_11,solar_photovoltaic_12,biomass_13,conventional_hydroelectric_14,conventional_steam_coal_15,hydroelectric_pumped_storage_16,natural_gas_fired_combined_cycle_17,natural_gas_fired_combined_cycle_18,natural_gas_fired_combustion_turbine_19,natural_gas_fired_combustion_turbine_20,natural_gas_steam_turbine_21,natural_gas_steam_turbine_22,onshore_wind_turbine_23,small_hydroelectric_24,solar_photovoltaic_25,biomass_26,conventional_hydroelectric_27,geothermal_28,natural_gas_fired_combined_cycle_29,natural_gas_fired_combustion_turbine_30,onshore_wind_turbine_31,small_hydroelectric_32,solar_photovoltaic_33,biomass_34,conventional_hydroelectric_35,conventional_steam_coal_36,natural_gas_fired_combustion_turbine_37,onshore_wind_turbine_38,small_hydroelectric_39,biomass_40,conventional_steam_coal_41,geothermal_42,natural_gas_fired_combined_cycle_43,natural_gas_fired_combined_cycle_44,natural_gas_fired_combined_cycle_45,natural_gas_fired_combustion_turbine_46,natural_gas_fired_combustion_turbine_47,natural_gas_steam_turbine_48,natural_gas_steam_turbine_49,onshore_wind_turbine_50,small_hydroelectric_51,solar_photovoltaic_52,biomass_53,conventional_hydroelectric_54,conventional_steam_coal_55,geothermal_56,natural_gas_fired_combined_cycle_57,natural_gas_fired_combined_cycle_58,natural_gas_fired_combined_cycle_59,natural_gas_fired_combustion_turbine_60,natural_gas_fired_combustion_turbine_61,natural_gas_steam_turbine_62,onshore_wind_turbine_63,small_hydroelectric_64,solar_photovoltaic_65,biomass_66,conventional_hydroelectric_67,geothermal_68,hydroelectric_pumped_storage_69,natural_gas_fired_combined_cycle_70,natural_gas_fired_combined_cycle_71,natural_gas_fired_combined_cycle_72,natural_gas_fired_combined_cycle_73,natural_gas_fired_combustion_turbine_74,natural_gas_fired_combustion_turbine_75,natural_gas_fired_combustion_turbine_76,natural_gas_fired_combustion_turbine_77,natural_gas_fired_combustion_turbine_78,nuclear_79,onshore_wind_turbine_80,small_hydroelectric_81,solar_photovoltaic_82,biomass_83,conventional_hydroelectric_84,conventional_steam_coal_85,geothermal_86,hydroelectric_pumped_storage_87,natural_gas_fired_combined_cycle_88,natural_gas_fired_combined_cycle_89,natural_gas_fired_combustion_turbine_90,natural_gas_fired_combustion_turbine_91,natural_gas_fired_combustion_turbine_92,nuclear_93,onshore_wind_turbine_94,small_hydroelectric_95,solar_photovoltaic_96,biomass_97,geothermal_98,hydroelectric_pumped_storage_99,natural_gas_fired_combined_cycle_100,natural_gas_fired_combined_cycle_101,natural_gas_fired_combustion_turbine_102,natural_gas_fired_combustion_turbine_103,natural_gas_fired_combustion_turbine_104,onshore_wind_turbine_105,small_hydroelectric_106,solar_photovoltaic_107,biomass_108,conventional_hydroelectric_109,conventional_steam_coal_110,geothermal_111,hydroelectric_pumped_storage_112,natural_gas_fired_combined_cycle_113,natural_gas_fired_combined_cycle_114,natural_gas_fired_combined_cycle_115,natural_gas_fired_combined_cycle_116,natural_gas_fired_combustion_turbine_117,natural_gas_fired_combustion_turbine_118,natural_gas_fired_combustion_turbine_119,natural_gas_fired_combustion_turbine_120,natural_gas_fired_combustion_turbine_121,natural_gas_steam_turbine_122,natural_gas_steam_turbine_123,onshore_wind_turbine_124,small_hydroelectric_125,solar_photovoltaic_126,biomass_127,conventional_hydroelectric_128,conventional_steam_coal_129,geothermal_130,natural_gas_fired_combined_cycle_131,natural_gas_fired_combined_cycle_132,natural_gas_fired_combustion_turbine_133,natural_gas_fired_combustion_turbine_134,natural_gas_fired_combustion_turbine_135,onshore_wind_turbine_136,small_hydroelectric_137,solar_photovoltaic_138,conventional_hydroelectric_139,conventional_steam_coal_140,natural_gas_fired_combined_cycle_141,natural_gas_fired_combustion_turbine_142,natural_gas_fired_combustion_turbine_143,onshore_wind_turbine_144,small_hydroelectric_145
0,1,0.2591,1,1,1,1,1,1,1,0.1325,0.2591,0.2031,1,0.2067,1,1,1,1,1,1,1,1,0.7271,0.2067,0,1,0.3554,1,1,1,0.0326,0.3554,0.1719,1,0.3937,1,1,0.8112,0.3937,1,1,1,1,1,1,1,1,1,1,0.6221,0.2543,0.0097,1,0.4863,1,1,1,1,1,1,1,1,0.132078777,0.4863,0.125297853,1,0.216363938,1,1,1,1,1,1,1,1,1,1,1,1,0.0004,0.216363938,0.2899,1,0.4661,1,1,1,1,1,1,1,1,1,0.0675,0.4661,0.0356,1,1,1,1,1,1,1,1,0.073073954,0.292487553,0.264489687,1,0.097440203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009895553,0.097440203,0.291306693,1,0.285,1,1,1,1,1,1,1,0.1236,0.285,0.1,0.1165,1,1,1,1,0.6929,0.1165
1,1,0.2593,1,1,1,1,1,1,1,0.2742,0.2593,0,1,0.2069,1,1,1,1,1,1,1,1,0.4698,0.2069,0,1,0.3556,1,1,1,0.07,0.3556,0,1,0.3932,1,1,0.69,0.3932,1,1,1,1,1,1,1,1,1,1,0.6107,0.2542,0,1,0.4865,1,1,1,1,1,1,1,1,0.403101799,0.4865,0,1,0.216120663,1,1,1,1,1,1,1,1,1,1,1,1,0.0293,0.216120663,0,1,0.4658,1,1,1,1,1,1,1,1,1,0.1413,0.4658,0,1,1,1,1,1,1,1,1,0.113225549,0.292187553,0,1,0.097340203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.112091845,0.097340203,0,1,0.285,1,1,1,1,1,1,1,0.1254,0.285,0,0.1165,1,1,1,1,0.6584,0.1165
2,1,0.2595,1,1,1,1,1,1,1,0.5171,0.2595,0,1,0.207,1,1,1,1,1,1,1,1,0.5379,0.207,0,1,0.3558,1,1,1,0.1116,0.3558,0,1,0.3927,1,1,0.6934,0.3927,1,1,1,1,1,1,1,1,1,1,0.5907,0.2542,0,1,0.4866,1,1,1,1,1,1,1,1,0.320269424,0.4866,0,1,0.215877389,1,1,1,1,1,1,1,1,1,1,1,1,0.0617,0.215877389,0,1,0.4655,1,1,1,1,1,1,1,1,1,0.1025,0.4655,0,1,1,1,1,1,1,1,1,0.082735942,0.291887553,0,1,0.097296693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.327139675,0.097296693,0,1,0.2849,1,1,1,1,1,1,1,0.2072,0.2849,0,0.1164,1,1,1,1,0.6785,0.1164
3,1,0.2597,1,1,1,1,1,1,1,0.3361,0.2597,0,1,0.2072,1,1,1,1,1,1,1,1,0.4689,0.2072,0,1,0.3559,1,1,1,0.1961,0.3559,0,1,0.3922,1,1,0.7331,0.3922,1,1,1,1,1,1,1,1,1,1,0.5111,0.2541,0,1,0.4868,1,1,1,1,1,1,1,1,0.235501799,0.4868,0,1,0.215634114,1,1,1,1,1,1,1,1,1,1,1,1,0.0811,0.215634114,0,1,0.4653,1,1,1,1,1,1,1,1,1,0.233,0.4653,0,1,1,1,1,1,1,1,1,0.181824638,0.291548303,0,1,0.097253184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.542861971,0.097253184,0,1,0.2849,1,1,1,1,1,1,1,0.1895,0.2849,0,0.1164,1,1,1,1,0.7239,0.1164
4,1,0.2599,1,1,1,1,1,1,1,0.3464,0.2599,0,1,0.2073,1,1,1,1,1,1,1,1,0.5991,0.2073,0,1,0.3561,1,1,1,0.2091,0.3561,0,1,0.3917,1,1,0.642,0.3917,1,1,1,1,1,1,1,1,1,1,0.3002,0.2541,0,1,0.4869,1,1,1,1,1,1,1,1,0.288338849,0.4869,0,1,0.215383627,1,1,1,1,1,1,1,1,1,1,1,1,0.0819,0.215383627,0,1,0.465,1,1,1,1,1,1,1,1,1,0.2807,0.465,0,1,1,1,1,1,1,1,1,0.420113458,0.291248303,0,1,0.097209674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.482406152,0.097209674,0,1,0.2848,1,1,1,1,1,1,1,0.1994,0.2848,0,0.1164,1,1,1,1,0.7286,0.1164
5,1,0.2601,1,1,1,1,1,1,1,0.2863,0.2601,0,1,0.2074,1,1,1,1,1,1,1,1,0.5906,0.2074,0,1,0.3563,1,1,1,0.2059,0.3563,0,1,0.3913,1,1,0.5552,0.3913,1,1,1,1,1,1,1,1,1,1,0.3482,0.2541,0,1,0.487,1,1,1,1,1,1,1,1,0.173986691,0.487,0,1,0.215140353,1,1,1,1,1,1,1,1,1,1,1,1,0.0152,0.215140353,0,1,0.4647,1,1,1,1,1,1,1,1,1,0.3679,0.4647,0,1,1,1,1,1,1,1,1,0.232892381,0.290948303,0,1,0.097109674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.454284184,0.097109674,0,1,0.2848,1,1,1,1,1,1,1,0.2075,0.2848,0,0.1164,1,1,1,1,0.6635,0.1164
6,1,0.2603,1,1,1,1,1,1,1,0.2663,0.2603,0,1,0.2076,1,1,1,1,1,1,1,1,0.3787,0.2076,0,1,0.3564,1,1,1,0.2139,0.3564,0,1,0.3908,1,1,0.4339,0.3908,1,1,1,1,1,1,1,1,1,1,0.3871,0.254,0,1,0.4872,1,1,1,1,1,1,1,1,0.149714029,0.4872,0,1,0.214897078,1,1,1,1,1,1,1,1,1,1,1,1,0.0066,0.214897078,0,1,0.4645,1,1,1,1,1,1,1,1,1,0.3965,0.4645,0,1,1,1,1,1,1,1,1,0.180398551,0.290648303,0,1,0.097066165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.616300148,0.097066165,0,1,0.2848,1,1,1,1,1,1,1,0.1972,0.2848,0,0.1164,1,1,1,1,0.6019,0.1164
7,1,0.2606,1,1,1,1,1,1,1,0.416,0.2606,0,1,0.2077,1,1,1,1,1,1,1,1,0.1651,0.2077,0,1,0.3566,1,1,1,0.187,0.3566,0,1,0.3903,1,1,0.3811,0.3903,1,1,1,1,1,1,1,1,1,1,0.4118,0.254,0,1,0.4873,1,1,1,1,1,1,1,1,0.262507194,0.4873,0,1,0.214653804,1,1,1,1,1,1,1,1,1,1,1,1,0.0403,0.214653804,0,1,0.4642,1,1,1,1,1,1,1,1,1,0.3852,0.4642,0,1,1,1,1,1,1,1,1,0.165949524,0.290348303,0,1,0.097022655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.572021808,0.097022655,0,1,0.2847,1,1,1,1,1,1,1,0.1717,0.2847,0,0.1164,1,1,1,1,0.5502,0.1164
8,1,0.2608,1,1,1,1,1,1,1,0.3343,0.2608,0,1,0.2079,1,1,1,1,1,1,1,1,0.1259,0.2079,0,1,0.3568,1,1,1,0.1951,0.3568,0,1,0.3898,1,1,0.3691,0.3898,1,1,1,1,1,1,1,1,1,1,0.536,0.254,0,1,0.4875,1,1,1,1,1,1,1,1,0.340040288,0.4875,0,1,0.214410529,1,1,1,1,1,1,1,1,1,1,1,1,0.1088,0.214410529,0,1,0.464,1,1,1,1,1,1,1,1,1,0.3221,0.464,0,1,1,1,1,1,1,1,1,0.156377267,0.290009052,0,1,0.096979146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521385639,0.096979146,0,1,0.2847,1,1,1,1,1,1,1,0.1409,0.2847,0,0.1164,1,1,1,1,0.5987,0.1164
9,1,0.261,1,1,1,1,1,1,1,0.2315,0.261,0,1,0.208,1,1,1,1,1,1,1,1,0.0862,0.208,0,1,0.3569,1,1,1,0.2016,0.3569,0,1,0.3893,1,1,0.3277,0.3893,1,1,1,1,1,1,1,1,1,1,0.2662,0.2539,0,1,0.4876,1,1,1,1,1,1,1,1,0.320253957,0.4876,0,1,0.214167255,1,1,1,1,1,1,1,1,1,1,1,1,0.059,0.214167255,0,1,0.4637,1,1,1,1,1,1,1,1,1,0.2667,0.4637,0,1,1,1,1,1,1,1,1,0.179756853,0.289709052,0,1,0.096879146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.635668161,0.096879146,0,1,0.2846,1,1,1,1,1,1,1,0.1155,0.2846,0,0.1164,1,1,1,1,0.6466,0.1164
10,1,0.2612,1,1,1,1,1,1,1,0.1063,0.2612,0,1,0.2081,1,1,1,1,1,1,1,1,0.0867,0.2081,0,1,0.3571,1,1,1,0.212,0.3571,0,1,0.3888,1,1,0.2472,0.3888,1,1,1,1,1,1,1,1,1,1,0.0813,0.2539,0,1,0.4878,1,1,1,1,1,1,1,1,0.379185971,0.4878,0,1,0.213831192,1,1,1,1,1,1,1,1,1,1,1,1,0.0401,0.213831192,0,1,0.4634,1,1,1,1,1,1,1,1,1,0.2072,0.4634,0,1,1,1,1,1,1,1,1,0.237457805,0.289409052,0,1,0.096835636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.680030722,0.096835636,0,1,0.2846,1,1,1,1,1,1,1,0.0613,0.2846,0,0.1164,1,1,1,1,0.7325,0.1164
11,1,0.2614,1,1,1,1,1,1,1,0.082,0.2614,0,1,0.2083,1,1,1,1,1,1,1,1,0.0773,0.2083,0,1,0.3573,1,1,1,0.1671,0.3573,0,1,0.3883,1,1,0.1673,0.3883,1,1,1,1,1,1,1,1,1,1,0.0684,0.2539,0,1,0.4879,1,1,1,1,1,1,1,1,0.25600036,0.4879,0,1,0.213587918,1,1,1,1,1,1,1,1,1,1,1,1,0.0429,0.213587918,0,1,0.4632,1,1,1,1,1,1,1,1,1,0.2852,0.4632,0,1,1,1,1,1,1,1,1,0.098464306,0.289109052,0,1,0.096792127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.675293428,0.096792127,0,1,0.2846,1,1,1,1,1,1,1,0.0626,0.2846,0,0.1164,1,1,1,1,0.7386,0.1164
12,1,0.2616,1,1,1,1,1,1,1,0.0578,0.2616,0,1,0.2084,1,1,1,1,1,1,1,1,0.0412,0.2084,0,1,0.3574,1,1,1,0.1106,0.3574,0,1,0.3879,1,1,0.0908,0.3879,1,1,1,1,1,1,1,1,1,1,0.0146,0.2538,0,1,0.488,1,1,1,1,1,1,1,1,0.221389928,0.488,0,1,0.213344643,1,1,1,1,1,1,1,1,1,1,1,1,0.0267,0.213344643,0,1,0.4629,1,1,1,1,1,1,1,1,1,0.3121,0.4629,0,1,1,1,1,1,1,1,1,0.053142733,0.288809052,0,1,0.096748617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.439298406,0.096748617,0,1,0.2845,1,1,1,1,1,1,1,0.0707,0.2845,0,0.1164,1,1,1,1,0.7126,0.1164
13,1,0.2618,1,1,1,1,1,1,1,0.138,0.2618,0,1,0.2085,1,1,1,1,1,1,1,1,0.0867,0.2085,0,1,0.3576,1,1,1,0.1948,0.3576,0,1,0.3874,1,1,0.0744,0.3874,1,1,1,1,1,1,1,1,1,1,0.024,0.2538,0,1,0.4882,1,1,1,1,1,1,1,1,0.348646763,0.4882,0,1,0.213101369,1,1,1,1,1,1,1,1,1,1,1,1,0.0245,0.213101369,0,1,0.4626,1,1,1,1,1,1,1,1,1,0.2995,0.4626,0,1,1,1,1,1,1,1,1,0.068183313,0.288469802,0,1,0.096648617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.447444594,0.096648617,0,1,0.2845,1,1,1,1,1,1,1,0.0223,0.2845,0,0.1164,1,1,1,1,0.6724,0.1164
14,1,0.262,1,1,1,1,1,1,1,0.0917,0.262,0,1,0.2087,1,1,1,1,1,1,1,1,0.0319,0.2087,0,1,0.3578,1,1,1,0.1257,0.3578,0,1,0.3869,1,1,0.0681,0.3869,1,1,1,1,1,1,1,1,1,1,0.0582,0.2537,0.0067,1,0.4883,1,1,1,1,1,1,1,1,0.159667266,0.4883,0,1,0.212858094,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.212858094,0,1,0.4624,1,1,1,1,1,1,1,1,1,0.058,0.4624,0,1,1,1,1,1,1,1,1,0.210726377,0.288169802,0,1,0.096605108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.274390596,0.096605108,0,1,0.2844,1,1,1,1,1,1,1,0.0316,0.2844,0,0.1164,1,1,1,1,0.3843,0.1164
15,1,0.2622,1,1,1,1,1,1,1,0.1274,0.2622,0.1783,1,0.2088,1,1,1,1,1,1,1,1,0.033,0.2088,0.1661,1,0.3579,1,1,1,0.1343,0.3579,0,1,0.3864,1,1,0.0505,0.3864,1,1,1,1,1,1,1,1,1,1,0.0848,0.2537,0.3235,1,0.4885,1,1,1,1,1,1,1,1,0.210764748,0.4885,0.063446391,1,0.21261482,1,1,1,1,1,1,1,1,1,1,1,1,0.0021,0.21261482,0,1,0.4621,1,1,1,1,1,1,1,1,1,0.0277,0.4621,0,1,1,1,1,1,1,1,1,0.172927453,0.287869802,0.120592304,1,0.096561598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.275043691,0.096561598,0.000720592,1,0.2844,1,1,1,1,1,1,1,0.0129,0.2844,0.1135,0.1164,1,1,1,1,0.3067,0.1164
16,1,0.2624,1,1,1,1,1,1,1,0.0872,0.2624,0.4058,1,0.209,1,1,1,1,1,1,1,1,0.1145,0.209,0.4031,1,0.3581,1,1,1,0.1955,0.3581,0.2598,1,0.3859,1,1,0.0627,0.3859,1,1,1,1,1,1,1,1,1,1,0.0801,0.2537,0.5093,1,0.4886,1,1,1,1,1,1,1,1,0.23147554,0.4886,0.339848538,1,0.212364333,1,1,1,1,1,1,1,1,1,1,1,1,0.0021,0.212364333,0.2891,1,0.4618,1,1,1,1,1,1,1,1,1,0.0658,0.4618,0.0109,1,1,1,1,1,1,1,1,0.147046832,0.287569802,0.378662061,1,0.096518089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.252779695,0.096518089,0.334857135,1,0.2844,1,1,1,1,1,1,1,0.0276,0.2844,0.4086,0.1164,1,1,1,1,0.2954,0.1164
17,1,0.2626,1,1,1,1,1,1,1,0.0504,0.2626,0.5406,1,0.2091,1,1,1,1,1,1,1,1,0.1251,0.2091,0.5079,1,0.3583,1,1,1,0.2627,0.3583,0.4682,1,0.3854,1,1,0.1101,0.3854,1,1,1,1,1,1,1,1,1,1,0.0465,0.2536,0.628,1,0.4888,1,1,1,1,1,1,1,1,0.137805396,0.4888,0.511753731,1,0.212121058,1,1,1,1,1,1,1,1,1,1,1,1,0.0014,0.212121058,0.4936,1,0.4616,1,1,1,1,1,1,1,1,1,0.0689,0.4616,0.2348,1,1,1,1,1,1,1,1,0.068101408,0.287269802,0.529085314,1,0.096418089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.109056845,0.096418089,0.51184916,1,0.2843,1,1,1,1,1,1,1,0.0187,0.2843,0.5576,0.1164,1,1,1,1,0.3376,0.1164
18,1,0.2629,1,1,1,1,1,1,1,0,0.2629,0.6211,1,0.2092,1,1,1,1,1,1,1,1,0.0855,0.2092,0.6137,1,0.3585,1,1,1,0.2509,0.3585,0.5747,1,0.3849,1,1,0.1439,0.3849,1,1,1,1,1,1,1,1,1,1,0.0297,0.2536,0.704,1,0.4889,1,1,1,1,1,1,1,1,0.092619424,0.4889,0.608457574,1,0.211877784,1,1,1,1,1,1,1,1,1,1,1,1,0.0662,0.211877784,0.6009,1,0.4613,1,1,1,1,1,1,1,1,1,0.1345,0.4613,0.3977,1,1,1,1,1,1,1,1,0.0307253,0.286969802,0.619494405,1,0.096374579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.160671497,0.096374579,0.619420849,1,0.2843,1,1,1,1,1,1,1,0.0109,0.2843,0.6364,0.1164,1,1,1,1,0.3649,0.1164
19,1,0.2631,1,1,1,1,1,1,1,0.0101,0.2631,0.6637,1,0.2094,1,1,1,1,1,1,1,1,0.1166,0.2094,0.6105,1,0.3586,1,1,1,0.2213,0.3586,0.6275,1,0.3844,1,1,0.2212,0.3844,1,1,1,1,1,1,1,1,1,1,0.049,0.2536,0.7281,1,0.489,1,1,1,1,1,1,1,1,0.048906475,0.489,0.673193128,1,0.211634509,1,1,1,1,1,1,1,1,1,1,1,1,0.0238,0.211634509,0.6665,1,0.461,1,1,1,1,1,1,1,1,1,0.1743,0.461,0.4945,1,1,1,1,1,1,1,1,0.075391925,0.286630552,0.666592483,1,0.09633107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.259227625,0.09633107,0.690926773,1,0.2842,1,1,1,1,1,1,1,0.0076,0.2842,0.6689,0.1164,1,1,1,1,0.2582,0.1164
20,1,0.2633,1,1,1,1,1,1,1,0.0421,0.2633,0.6695,1,0.2095,1,1,1,1,1,1,1,1,0.0577,0.2095,0.5894,1,0.3588,1,1,1,0.2397,0.3588,0.6405,1,0.384,1,1,0.234,0.384,1,1,1,1,1,1,1,1,1,1,0.0474,0.2535,0.7123,1,0.4892,1,1,1,1,1,1,1,1,0.029646403,0.4892,0.685351896,1,0.211298447,1,1,1,1,1,1,1,1,1,1,1,1,0.0075,0.211298447,0.6957,1,0.4608,1,1,1,1,1,1,1,1,1,0.2064,0.4608,0.4345,1,1,1,1,1,1,1,1,0.203415694,0.286330552,0.673382518,1,0.09628756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.107046231,0.09628756,0.706581857,1,0.2842,1,1,1,1,1,1,1,0.0145,0.2842,0.6778,0.1164,1,1,1,1,0.2122,0.1164
21,1,0.2635,1,1,1,1,1,1,1,0.0369,0.2635,0.6386,1,0.2096,1,1,1,1,1,1,1,1,0.0508,0.2096,0.587,1,0.359,1,1,1,0.1924,0.359,0.61,1,0.3835,1,1,0.2262,0.3835,1,1,1,1,1,1,1,1,1,1,0.0232,0.2535,0.6513,1,0.4893,1,1,1,1,1,1,1,1,0.009766187,0.4893,0.660692782,1,0.211055173,1,1,1,1,1,1,1,1,1,1,1,1,0.0027,0.211055173,0.6845,1,0.4605,1,1,1,1,1,1,1,1,1,0.1761,0.4605,0.3935,1,1,1,1,1,1,1,1,0.286150725,0.285969802,0.649444931,1,0.09618756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.06721623,0.09618756,0.687064739,1,0.2841,1,1,1,1,1,1,1,0.0113,0.2841,0.6433,0.1164,1,1,1,1,0.2182,0.1164
22,1,0.2637,1,1,1,1,1,1,1,0.0484,0.2637,0.5894,1,0.2098,1,1,1,1,1,1,1,1,0.078,0.2098,0.4882,1,0.3591,1,1,1,0.3064,0.3591,0.5383,1,0.383,1,1,0.1156,0.383,1,1,1,1,1,1,1,1,1,1,0.0473,0.2535,0.5609,1,0.4895,1,1,1,1,1,1,1,1,0.001079137,0.4895,0.602033357,1,0.210811898,1,1,1,1,1,1,1,1,1,1,1,1,0.0196,0.210811898,0.6364,1,0.4602,1,1,1,1,1,1,1,1,1,0.3202,0.4602,0.3573,1,1,1,1,1,1,1,1,0.152405217,0.285669802,0.610872554,1,0.096144051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.208206784,0.096144051,0.64350618,1,0.2841,1,1,1,1,1,1,1,0.0095,0.2841,0.55,0.1164,1,1,1,1,0.297,0.1164
23,1,0.2639,1,1,1,1,1,1,1,0.0568,0.2639,0.4465,1,0.2099,1,1,1,1,1,1,1,1,0.0718,0.2099,0.275,1,0.3593,1,1,1,0.3557,0.3593,0.3896,1,0.3825,1,1,0.1117,0.3825,1,1,1,1,1,1,1,1,1,1,0.0696,0.2534,0.3707,1,0.4896,1,1,1,1,1,1,1,1,0.007607914,0.4896,0.458207825,1,0.210568623,1,1,1,1,1,1,1,1,1,1,1,1,0.0109,0.210568623,0.5176,1,0.46,1,1,1,1,1,1,1,1,1,0.3744,0.46,0.2596,1,1,1,1,1,1,1,1,0.229059089,0.285369802,0.479628847,1,0.096100541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.231825123,0.096100541,0.516309655,1,0.2841,1,1,1,1,1,1,1,0.0123,0.2841,0.3876,0.1164,1,1,1,1,0.2668,0.1164
24,1,0.2641,1,1,1,1,1,1,1,0.0977,0.2641,0.2191,1,0.2101,1,1,1,1,1,1,1,1,0.0879,0.2101,0,1,0.3595,1,1,1,0.332,0.3595,0.1277,1,0.382,1,1,0.152,0.382,1,1,1,1,1,1,1,1,1,1,0.054,0.2534,0.0245,1,0.4898,1,1,1,1,1,1,1,1,0.026304676,0.4898,0.234728873,1,0.210325349,1,1,1,1,1,1,1,1,1,1,1,1,0.001,0.210325349,0.3294,1,0.4597,1,1,1,1,1,1,1,1,1,0.4382,0.4597,0.0821,1,1,1,1,1,1,1,1,0.157906418,0.285030552,0.271799303,1,0.096057032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.297238729,0.096057032,0.3212955,1,0.284,1,1,1,1,1,1,1,0.0184,0.284,0.1241,0.1164,1,1,1,1,0.19,0.1164
25,1,0.2643,1,1,1,1,1,1,1,0.1832,0.2643,0,1,0.2102,1,1,1,1,1,1,1,1,0.0922,0.2102,0,1,0.3596,1,1,1,0.4319,0.3596,0,1,0.3815,1,1,0.2316,0.3815,1,1,1,1,1,1,1,1,1,1,0.0366,0.2533,0,1,0.4899,1,1,1,1,1,1,1,1,0.108566906,0.4899,0,1,0.210082074,1,1,1,1,1,1,1,1,1,1,1,1,0.052,0.210082074,0,1,0.4594,1,1,1,1,1,1,1,1,1,0.4425,0.4594,0,1,1,1,1,1,1,1,1,0.073614576,0.284730552,0,1,0.095957032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.257043032,0.095957032,0,1,0.284,1,1,1,1,1,1,1,0.0902,0.284,0,0.1164,1,1,1,1,0.1352,0.1164
26,1,0.2645,1,1,1,1,1,1,1,0.2368,0.2645,0,1,0.2103,1,1,1,1,1,1,1,1,0.0592,0.2103,0,1,0.3598,1,1,1,0.4707,0.3598,0,1,0.381,1,1,0.2973,0.381,1,1,1,1,1,1,1,1,1,1,0.0331,0.2533,0,1,0.49,1,1,1,1,1,1,1,1,0.127416187,0.49,0,1,0.2098388,1,1,1,1,1,1,1,1,1,1,1,1,0.0384,0.2098388,0,1,0.4592,1,1,1,1,1,1,1,1,1,0.3745,0.4592,0,1,1,1,1,1,1,1,1,0.044431346,0.284430552,0,1,0.095913522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.389168464,0.095913522,0,1,0.2839,1,1,1,1,1,1,1,0.1009,0.2839,0,0.1164,1,1,1,1,0.1342,0.1164
27,1,0.2647,1,1,1,1,1,1,1,0.2609,0.2647,0,1,0.2105,1,1,1,1,1,1,1,1,0.0394,0.2105,0,1,0.36,1,1,1,0.5382,0.36,0,1,0.3806,1,1,0.247,0.3806,1,1,1,1,1,1,1,1,1,1,0.0756,0.2533,0,1,0.4902,1,1,1,1,1,1,1,1,0.162347482,0.4902,0,1,0.209588313,1,1,1,1,1,1,1,1,1,1,1,1,0.0654,0.209588313,0,1,0.4589,1,1,1,1,1,1,1,1,1,0.2441,0.4589,0,1,1,1,1,1,1,1,1,0.213786046,0.284130552,0,1,0.095870013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.400550454,0.095870013,0,1,0.2839,1,1,1,1,1,1,1,0.1196,0.2839,0,0.1163,1,1,1,1,0.1643,0.1163
28,1,0.2649,1,1,1,1,1,1,1,0.3279,0.2649,0,1,0.2106,1,1,1,1,1,1,1,1,0.0157,0.2106,0,1,0.3601,1,1,1,0.5978,0.3601,0,1,0.3801,1,1,0.2854,0.3801,1,1,1,1,1,1,1,1,1,1,0.0639,0.2532,0,1,0.4903,1,1,1,1,1,1,1,1,0.161390288,0.4903,0,1,0.209345038,1,1,1,1,1,1,1,1,1,1,1,1,0.0058,0.209345038,0,1,0.4586,1,1,1,1,1,1,1,1,1,0.1682,0.4586,0,1,1,1,1,1,1,1,1,0.30830766,0.283830552,0,1,0.095826503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.450783876,0.095826503,0,1,0.2839,1,1,1,1,1,1,1,0.1053,0.2839,0,0.1163,1,1,1,1,0.2491,0.1163
