R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Marginal_cost,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
70,NorCal,1,Natural Gas Fired Combined Cycle,1,14,145.443,3102.302,0,16291,4.495,pacific_reference_naturalgas,8.363,26.88933268,0.711,0.435,0.506,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
131,UT,11,Natural Gas Fired Combined Cycle,1,1,140,437.4,0,16291,4.495,mountain_reference_naturalgas,8.666,27.77867881,0,,0.071,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
18,CO,12,Natural Gas Fired Combined Cycle,2,10,146.74,3351.201,0,16291,4.495,mountain_reference_naturalgas,8.87,28.32678295,3.505,2.703,0.46,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
72,NorCal,1,Natural Gas Fired Combined Cycle,3,4,52.9,211.6,0,16291,4.495,pacific_reference_naturalgas,10.799,33.41242181,1.37,1.506,0.441,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
114,SoCal,2,Natural Gas Fired Combined Cycle,2,6,132.7,796.2,0,16291,4.495,pacific_reference_naturalgas,12.651,38.37168334,1.801,1.202,0.637,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
45,NM,9,Natural Gas Fired Combined Cycle,3,1,144,144,0,9668,3.567,mountain_reference_naturalgas,15.109,44.16163457,0,,0.403,3.78,3.78,1,2,90.95901427,1,1,1,1,1,0,0,0,0,0,0
78,NorCal,1,Natural Gas Fired Combustion Turbine,5,3,83,257,0,9042,11.728,pacific_reference_naturalgas,4.356,23.39244017,0,0,0.522,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
75,NorCal,1,Natural Gas Fired Combustion Turbine,2,30,9.129,272.912,0,11493,11.728,pacific_reference_naturalgas,5.534,26.54687326,0.982,1.074,0.567,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
119,SoCal,2,Natural Gas Fired Combustion Turbine,3,13,19.562,254.306,0,11493,11.728,pacific_reference_naturalgas,6.22,28.38383514,0.933,1.215,0.621,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
117,SoCal,2,Natural Gas Fired Combustion Turbine,1,27,92.644,2501.388,0,7300,11.728,pacific_reference_naturalgas,9.047,35.95393899,3.916,1.822,0.588,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
